reference_id,title,manual_type_normalized,system_name,page_count,text_page_count,image_only_page_count,resolved_local_path
TEA-ATM-3F941CA704,LUBRICANT,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\PREPARATION\LUBRICANT [3f941ca70477fc52ac177b3bd1030273].pdf
TEA-ATM-B15E8F625F,OIL PUMP BUSHING CHECK,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OIL PUMP\OIL PUMP BUSHING CHECK [b15e8f625f86f69c8369f918190dc9c8].pdf
TEA-ATM-5B56115AD2,OPERATION,Automatic Transmission Manual,Transmission,6,0,6,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OPERATION [5b56115ad2148da5f349099218eaab6c].pdf
TEA-ATM-048AE59FA7,OVERDRIVE BRAKE INSPECTION,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE BRAKE\OVERDRIVE BRAKE INSPECTION [048ae59fa73f778313e1ee3312734c8a].pdf
TEA-ATM-74AA5B2DAA,REAR PLANETARY GEAR INSPECTION,Automatic Transmission Manual,Transmission,3,0,3,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\REAR PLANETARY GEAR\REAR PLANETARY GEAR INSPECTION [74aa5b2daad15d30199c82b6903f8bc0].pdf
TEA-ATM-7D0208F2FF,RECOMMENDED TOOLS,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\PREPARATION\RECOMMENDED TOOLS [7d0208f2ff002e3cab4499f5570a3019].pdf
TEA-ATM-D5C48A32EB,RETAINERS AND CHECK BALLS LOCATION,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\UPPER VALVE BODY\RETAINERS AND CHECK BALLS LOCATION [d5c48a32eb9d30de05b34c20d7f9619d].pdf
TEA-ATM-1E2F32DF52,RETAINERS LOCATION,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\LOWER VALVE BODY\RETAINERS LOCATION [1e2f32df52d1d7e858850cf99a7ff1dc].pdf
TEA-ATM-8A0EFAF8C9,SECOND BRAKE ASSEMBLY,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\SECOND BRAKE\SECOND BRAKE ASSEMBLY [8a0efaf8c9ad13ffaab3c14d45a4d99d].pdf
TEA-ATM-F9664928BA,SECOND BRAKE INSPECTION,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\SECOND BRAKE\SECOND BRAKE INSPECTION [f9664928ba3f5b5b85012152ffd898b4].pdf
TEA-ATM-73A788BBFF,SECOND COAST BRAKE BAND INSPECTION,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\SECOND COAST BRAKE\SECOND COAST BRAKE BAND INSPECTION [73a788bbffe87da2eec27919edfc9ea9].pdf
TEA-ATM-1186EE70A4,SERVICE DATE,Automatic Transmission Manual,Transmission,4,0,4,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\SERVICE SPECIFICATIONS\SERVICE DATE [1186ee70a48019ec94494bd968e13060].pdf
TEA-ATM-C84859C592,SST (SPECIAL SERVICE TOOLS),Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\PREPARATION\SST (SPECIAL SERVICE TOOLS) [c84859c592cd75f5ff9853d0f7d3caea].pdf
TEA-ATM-F52A0C19EA,STANDARD BOLT TORQUE SPECIFICATIONS,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\INTRODUCTION\STANDARD BOLT TORQUE SPECIFICATIONS [f52a0c19ea6bac7711b536e1fd3518dc].pdf
TEA-ATM-9674876E50,TORQUE SPECIFICATIONS,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\SERVICE SPECIFICATIONS\TORQUE SPECIFICATIONS [9674876e509f585ef288086565bb5ab9].pdf
TEA-ATM-2E0ADC9430,TRANSMISSION CASE INSPECTION,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\TRANSMISSION CASE\TRANSMISSION CASE INSPECTION [2e0adc94307236b3e49d2e30cf464417].pdf
TEA-ATM-A87316FF6D,TRANSMISSION DISASSEMBLY,Automatic Transmission Manual,Transmission,16,0,16,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS REMOVAL\TRANSMISSION DISASSEMBLY [a87316ff6ddcbc49b9db20f19a577f7e].pdf
TEA-ATM-0292A4D112,VALVE BODY ASSEMBLY,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\LOWER VALVE BODY\VALVE BODY ASSEMBLY [0292a4d11262e25bae106dfd6192860e].pdf
TEA-ATM-B0C757111A,VALVE BODY SPRING SPECIFICATIONS,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\UPPER VALVE BODY\VALVE BODY SPRING SPECIFICATIONS [b0c757111ad7ff0dad198c8ed44c0f02].pdf
TEA-ATM-86B1DA3083,VALVE BODY SPRINGS SPECIFICATIONS,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\LOWER VALVE BODY\VALVE BODY SPRINGS SPECIFICATIONS [86b1da3083ba4ee1b625e015cf020112].pdf
