reference_id,document_uid,manufacturer,model_name,chassis_code,engine_code,transmission_code,model_year,title,manual_type_original,manual_type_normalized,system_name,section_path,download_status,source_url,source_hash,original_local_path,resolved_local_path,file_exists,pdf_valid,size_bytes,sha256,error
TEA-RM-9E530A5EB6,6946a3e5-ed05-5be0-9637-e617719a6134,Toyota,Century,GZG50,,,1997,Rear A/C amplifier circuit,Repair Manual,Repair Manual,General,DIAGNOSTICS / REAR JUNCTION BLOCK SYSTEM,downloaded,http://century.trinom.org/public/9e530a5eb66ed12080ee237f773c3645.pdf,9e530a5eb66ed12080ee237f773c3645,PDFs\Repair Manual\DIAGNOSTICS\REAR JUNCTION BLOCK SYSTEM\Rear A_C amplifier circuit [9e530a5eb66ed12080ee237f773c3645].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\DIAGNOSTICS\REAR JUNCTION BLOCK SYSTEM\Rear A_C amplifier circuit [9e530a5eb66ed12080ee237f773c3645].pdf,1,1,49278,e96e1a2ea6ef4bbcfbe1a2db2514793451f05038756750115260acf19e031c64,
TEA-RM-C83AF953B7,d9950582-a595-5e3b-bf54-57d8ad122bf4,Toyota,Century,GZG50,,,1997,Rear Blower Motor Circuit,Repair Manual,Repair Manual,General,DIAGNOSTICS / AIR CONDITIONING SYSTEM,downloaded,http://century.trinom.org/public/c83af953b7987214bae2d0b27b8aba83.pdf,c83af953b7987214bae2d0b27b8aba83,PDFs\Repair Manual\DIAGNOSTICS\AIR CONDITIONING SYSTEM\Rear Blower Motor Circuit [c83af953b7987214bae2d0b27b8aba83].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\DIAGNOSTICS\AIR CONDITIONING SYSTEM\Rear Blower Motor Circuit [c83af953b7987214bae2d0b27b8aba83].pdf,1,1,49661,536ac3e0af0dc1f1db9cd3702a531d2ca8ac16c85fb4c3afb7514cda9145562d,
TEA-RM-1FC5BC08FA,fadaaa9c-cb05-5162-8d7e-9e6efe9d00a3,Toyota,Century,GZG50,,,1997,Rear Damper Servomotor Circuit,Repair Manual,Repair Manual,General,DIAGNOSTICS / AIR CONDITIONING SYSTEM,downloaded,http://century.trinom.org/public/1fc5bc08faf0b92ed9221e8c07ee0491.pdf,1fc5bc08faf0b92ed9221e8c07ee0491,PDFs\Repair Manual\DIAGNOSTICS\AIR CONDITIONING SYSTEM\Rear Damper Servomotor Circuit [1fc5bc08faf0b92ed9221e8c07ee0491].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\DIAGNOSTICS\AIR CONDITIONING SYSTEM\Rear Damper Servomotor Circuit [1fc5bc08faf0b92ed9221e8c07ee0491].pdf,1,1,50873,d3aa7ec36bd4084895bff79fbbe62e8fa5724a3a568c982e0271a8af641213f9,
TEA-RM-9EAD3675A5,323c0e4a-b530-5a6f-b6d3-95a9d379c898,Toyota,Century,GZG50,,,1997,Rear Power Seat Switch Power Source Circuit,Repair Manual,Repair Manual,General,DIAGNOSTICS / POWER SEAT CONTROL SYSTEM (Rear Seat),downloaded,http://century.trinom.org/public/9ead3675a5454b79081028c565760060.pdf,9ead3675a5454b79081028c565760060,PDFs\Repair Manual\DIAGNOSTICS\POWER SEAT CONTROL SYSTEM (Rear Seat)\Rear Power Seat Switch Power Source Circuit [9ead3675a5454b79081028c565760060].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\DIAGNOSTICS\POWER SEAT CONTROL SYSTEM (Rear Seat)\Rear Power Seat Switch Power Source Circuit [9ead3675a5454b79081028c565760060].pdf,1,1,70232,9bf02e3dff81a73307a66f2e790bfd5d9d2e562667d991f3ac8ab613f9eca1f7,
TEA-RM-910D372649,375f8a61-d24d-5908-a0de-a4278efe5582,Toyota,Century,GZG50,,,1997,SERVICE DATA,Repair Manual,Repair Manual,General,SERVICE SPECIFICATIONS / AIR CONDITIONING,downloaded,http://century.trinom.org/public/910d3726499a8a09c9d464746a726a00.pdf,910d3726499a8a09c9d464746a726a00,PDFs\Repair Manual\SERVICE SPECIFICATIONS\AIR CONDITIONING\SERVICE DATA [910d3726499a8a09c9d464746a726a00].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\SERVICE SPECIFICATIONS\AIR CONDITIONING\SERVICE DATA [910d3726499a8a09c9d464746a726a00].pdf,1,1,31358,baa7b8919c3a41b292cd911c67d186f873cbec9d93d86c91ace54e33d53026be,
TEA-RM-6007D9702C,6955d0d4-153e-5e2d-a83f-d623b2cb4ea9,Toyota,Century,GZG50,,,1997,SET OFF,Repair Manual,Repair Manual,General,AIR CONDITIONING / MANIFOLD GAUGE SET,downloaded,http://century.trinom.org/public/6007d9702ca5e433bc46814572bcd155.pdf,6007d9702ca5e433bc46814572bcd155,PDFs\Repair Manual\AIR CONDITIONING\MANIFOLD GAUGE SET\SET OFF [6007d9702ca5e433bc46814572bcd155].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\MANIFOLD GAUGE SET\SET OFF [6007d9702ca5e433bc46814572bcd155].pdf,1,1,33196,e8ec3e328aae165e523e00e98d2a0e788fcf59907e00ca3a3e48ec8b09ada165,
TEA-RM-02EC051B78,9156554c-70b4-5d7d-ba41-22ab198165c2,Toyota,Century,GZG50,,,1997,SET ON,Repair Manual,Repair Manual,General,AIR CONDITIONING / MANIFOLD GAUGE SET,downloaded,http://century.trinom.org/public/02ec051b78c9419eb26d6f86d58408c7.pdf,02ec051b78c9419eb26d6f86d58408c7,PDFs\Repair Manual\AIR CONDITIONING\MANIFOLD GAUGE SET\SET ON [02ec051b78c9419eb26d6f86d58408c7].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\AIR CONDITIONING\MANIFOLD GAUGE SET\SET ON [02ec051b78c9419eb26d6f86d58408c7].pdf,1,1,81099,354731b9cf7ae665e36e206eebd55915ef6e8a3c3675c1fc629db547eb24b380,
TEA-RM-33F0433F5E,cd388c83-6410-575e-8605-8d41f61575eb,Toyota,Century,GZG50,,,1997,SPECIFIED TORQUE FOR STANDARD BOLTS,Repair Manual,Repair Manual,General,SERVICE SPECIFICATIONS / STANDARD BOLT,downloaded,http://century.trinom.org/public/33f0433f5ed006a01bc73439a3c6b709.pdf,33f0433f5ed006a01bc73439a3c6b709,PDFs\Repair Manual\SERVICE SPECIFICATIONS\STANDARD BOLT\SPECIFIED TORQUE FOR STANDARD BOLTS [33f0433f5ed006a01bc73439a3c6b709].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\SERVICE SPECIFICATIONS\STANDARD BOLT\SPECIFIED TORQUE FOR STANDARD BOLTS [33f0433f5ed006a01bc73439a3c6b709].pdf,1,1,32901,097ae5b3a2a8d050ac7d778b2440881adeeef60e89362adad28736c87262edbe,
TEA-RM-B9AEA9AEC3,ea5b1885-c38c-5a48-8b89-5de60f3758df,Toyota,Century,GZG50,,,1997,SPECIFIED TORQUE FOR STANDARD BOLTS ( 2001.12 - ) [ Only for Hong Kong ],Repair Manual,Repair Manual,General,SERVICE SPECIFICATIONS / STANDARD BOLT,failed,http://century.trinom.org/public/b9aea9aec3413bb8247300d0879c4701.pdf,b9aea9aec3413bb8247300d0879c4701,PDFs\Repair Manual\SERVICE SPECIFICATIONS\STANDARD BOLT\SPECIFIED TORQUE FOR STANDARD BOLTS ( 2001.12 - ) [ Only for Hong Kong ] [b9aea9aec3413bb8247300d0879c4701].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\SERVICE SPECIFICATIONS\STANDARD BOLT\SPECIFIED TORQUE FOR STANDARD BOLTS ( 2001.12 - ) [ Only for Hong Kong ] [b9aea9aec3413bb8247300d0879c4701].pdf,0,,0,,[Errno 2] No such file or directory: 'Century_GZG50_Archive\\PDFs\\Repair Manual\\SERVICE SPECIFICATIONS\\STANDARD BOLT\\SPECIFIED TORQUE FOR STANDARD BOLTS ( 2001.12 - ) [ Only for Hong Kong ] [b9aea9aec3413bb8247300d0879c4701].pdf.part'
TEA-RM-557E823531,38ef10dc-835d-5348-a20b-2f65aef64177,Toyota,Century,GZG50,,,1997,SST (Special Service Tools),Repair Manual,Repair Manual,General,PREPARATION / SUPPLEMENTAL RESTRAINT SYSTEM,downloaded,http://century.trinom.org/public/557e823531300eacab6bae699d1c773d.pdf,557e823531300eacab6bae699d1c773d,PDFs\Repair Manual\PREPARATION\SUPPLEMENTAL RESTRAINT SYSTEM\SST (Special Service Tools) [557e823531300eacab6bae699d1c773d].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Repair Manual\PREPARATION\SUPPLEMENTAL RESTRAINT SYSTEM\SST (Special Service Tools) [557e823531300eacab6bae699d1c773d].pdf,1,1,43895,63330ffa4a8fcc2c2fdb7f9bc734f11db6c53d464188f295cc5ab7177b0b624b,
